src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.8.115,224.0.0.251,5353,5353,2048,2025-10-12 20:07:38,98.200639,176.50597976251458,0.6924598525270289,0.6924598525270289,0.0,68,0,17333,0,553,106,254.89705882352942,108.12725886193796,0,0,0,0.0,553,106,254.89705882352942,108.12725886193796,11691.504108996542,1360,0,20,68,1.4656811791044773,33.384197,0.0,4.543179711076682,98.200639,33.384197,0.0,1.4656811791044773,4.543179711076682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,254.89705882352942,0,0,0,0,0,0,0,0,0,0,1532.6,8.4,0,0,1152.096769513441705301674803,0,254.89705882352942,0,0,68,0,17333,0
192.168.9.88,52.24.26.117,57698,443,2048,2025-10-12 20:07:38,98.379776,7.847141266107375,0.10164690759206445,0.050823453796032224,0.050823453796032224,5,5,388,384,100,72,77.6,11.2,96,72,76.8,9.6,100,72,77.2,10.43839068055991,108.96,100,100,20,1,10.931086222222223,45.433123,0.0,18.444163868994924,98.079858,45.759833,0.0,24.5199645,21.17545995740235,98.060302,45.733041,0.307466,24.515075500000002,21.152453193937273,1,1,0,0,0,0,0,2,10,0,0,1.0,77.2,469,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.6,76.8,0,5,5,388,384
0.0.0.0,255.255.255.255,68,67,2048,2025-10-12 20:07:38,122.059832,51.368250285646795,0.14746866110711998,0.14746866110711998,0.0,18,0,6270,0,354,348,348.3333333333333,1.3743685418725538,0,0,0,0.0,354,348,348.3333333333333,1.3743685418725538,1.8888888888888893,360,0,20,18,7.179990117647058,23.039953,0.0,7.800372382038715,122.059832,23.039953,0.0,7.179990117647058,7.800372382038715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,348.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.3333333333333,0,0,18,0,6270,0
192.168.8.72,255.255.255.255,43542,137,2048,2025-10-12 20:07:43,116.7361,17.62950792428392,0.17989293800289716,0.17989293800289716,0.0,21,0,2058,0,98,98,98.0,0.0,0,0,0,0.0,98,98,98.0,0.0,0.0,420,0,20,21,5.836805,6.147823,0.0,1.339055475874282,116.7361,6.147823,0.0,5.836805,1.339055475874282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,0,0,21,0,2058,0
192.168.8.72,224.0.0.251,5353,5353,2048,2025-10-12 20:07:45,108.132711,20.743029368791095,0.1572142216983721,0.1572142216983721,0.0,17,0,2243,0,171,88,131.94117647058823,41.42813847422361,0,0,0,0.0,171,88,131.94117647058823,41.42813847422361,1716.2906574394462,340,0,20,17,6.7582944375,12.696046,0.0,4.871348980651484,108.132711,12.696046,0.0,6.7582944375,4.871348980651484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,131.94117647058823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.94117647058823,0,0,17,0,2243,0
57.144.211.32,192.168.9.88,443,53220,2048,2025-10-12 20:07:45,114.409864,85.60450696803555,0.5943543469293872,0.2971771734646936,0.2971771734646936,34,34,5647,4147,504,72,166.08823529411765,131.1344993524405,431,72,121.97058823529412,68.7332804457233,504,72,144.02941176470588,106.98996250174392,11446.852076124569,680,680,20,18,1.7076099104477611,26.541748,0.0,4.699639386671529,114.409864,26.550363,0.0,3.4669655757575764,6.229608022924814,114.399958,26.541748,0.00427,3.466665393939394,6.232776473858403,18,17,0,0,0,0,0,35,68,0,0,1.0,144.02941176470588,876,197,0,0,0,0,0,0,0,0,0,0,383.0,4.0,0,6566.764968109183183595089500,166.08823529411765,121.97058823529412,0,34,34,5647,4147
104.18.39.21,192.168.9.88,443,39718,2048,2025-10-12 20:07:47,100.055174,17.030603534805707,0.18989522720734064,0.12992831335239097,0.05996691385494968,13,6,1104,600,96,72,84.92307692307692,11.964444366291435,100,100,100.0,0.0,100,72,89.6842105263158,12.126754378033406,147.05817174515238,260,120,20,7,5.558620777777777,20.063799,0.0,8.955513139405126,100.05517400000001,20.063799,0.0,8.337931166666666,9.855360473892224,100.045837,20.072504,19.966041,20.009167400000003,0.05074493704242837,7,6,0,0,0,0,0,13,19,0,0,0.46153846153846156,89.6842105263158,16,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.92307692307692,100.0,0,13,6,1104,600
192.168.9.88,74.125.130.188,51164,5228,2048,2025-10-12 20:07:50,90.15896,5.590126594184317,0.07764064714144885,0.04436608408082791,0.03327456306062093,4,3,288,216,72,72,72.0,0.0,72,72,72.0,0.0,72,72,72.0,0.0,0.0,80,60,20,0,15.026493333333335,45.012981,0.0,21.201024312338674,90.11203,45.056106,0.0,30.037343333333336,21.239609159958494,90.116017,45.063548,45.052469,45.0580085,0.005539499999997588,0,0,0,0,0,0,0,0,7,0,0,0.75,72.0,439,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,72.0,0,4,3,288,216
192.168.8.77,224.0.0.251,5353,5353,2048,2025-10-12 20:07:54,96.153904,7.945595219929916,0.05199996871681882,0.05199996871681882,0.0,5,0,764,0,256,84,152.8,84.26244715174133,0,0,0,0.0,256,84,152.8,84.26244715174133,7100.160000000001,100,0,20,5,24.038476,96.051042,0.0,41.57649557036208,96.153904,96.051042,0.0,24.038476,41.57649557036208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.8,0,0,5,0,764,0
140.82.113.22,192.168.9.88,443,52140,2048,2025-10-12 20:07:37,0.0,0,0,0,0,2,0,124,0,62,62,62.0,0.0,0,0,0,0.0,62,62,62.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,0,0,2,0,124,0
